state_abbr,municipio_name,sex,pop_15,no_school,preschool,elementary,secondary,highschool,higher_edu,other,schoolyrs
AGS,Aguascalientes,Total,631064,2.66232901892676,0.1733580112318218,20.152472649366743,29.311448601092707,23.3182371360115,24.2919894020257,0.09016518134452,10.2111523
AGS,Aguascalientes,Hombres,301714,2.35521056364636,0.1746687260120489,18.6007278415983,30.379763617200318,22.849122016214,25.5602988260405,0.08020840928826,10.3801435
AGS,Aguascalientes,Mujeres,329350,2.94367693942614,0.1721572794899036,21.574009412479096,28.332776681341965,23.7479884621223,23.1301047517838,0.09928647335661,10.0563831
AGS,Asientos,Total,31013,4.01122110082868,0.2579563408892983,33.779382839454385,39.21258826943535,16.0706800374036,6.35539934866024,0.31277206332828,7.8540053
AGS,Asientos,Hombres,14991,4.38930024681475,0.293509438996729,35.481288773263884,37.45580681742372,15.6760723100527,6.35714762190647,0.34687479154159,7.6920858
AGS,Asientos,Mujeres,16022,3.65747097740606,0.22469104980651244,32.186992884783365,40.85632255648476,16.4398951441767,6.35376357508426,0.28086381225814,8.0052628
AGS,Calvillo,Total,38678,6.35761931847562,0.16546874192046537,37.850974714307874,35.06386059258489,13.8942034231346,6.46620818036093,0.20166502921557,7.4667617
AGS,Calvillo,Hombres,18499,7.0598410724904,0.1837937185793771,40.515703551543325,33.08286934428883,12.4385101897399,6.56792259041029,0.15135953294772,7.2293732
AGS,Calvillo,Mujeres,20179,5.71386094454631,0.1486694087913114,35.40809752713217,36.87992467416618,15.2287031071906,6.37296199018781,0.24778234798552,7.6846501
AGS,Cosío,Total,10478,3.68390914296621,0.4390150792135885,26.56041229242216,39.081885856079396,20.614621110899,9.32429853025386,0.29585798816568,8.5637919
AGS,Cosío,Hombres,5044,4.22283901665345,0.4559873116574118,25.059476605868298,38.897700237906406,21.5107057890563,9.59555908009516,0.25773195876288,8.613328
AGS,Cosío,Mujeres,5434,3.18365844681634,0.42326094957673566,27.953625322046328,39.25285241074711,19.7828487302171,9.07250644092749,0.33124769966875,8.5177212
AGS,El Llano,Total,13679,4.72987791505227,0.16083047006359993,34.25689012354698,38.09488997733743,14.7086775349075,7.94648731632429,0.10234666276774,7.8966097
AGS,El Llano,Hombres,6607,4.63145149084304,0.12108369910700084,34.52398970788556,38.53488724080516,14.6359921295595,7.46178295746935,0.09081277433025,7.839624
AGS,El Llano,Mujeres,7072,4.82183257918552,0.19796380090497717,34.007352941176414,37.683823529411704,14.7765837104072,8.39932126696832,0.1131221719457,7.9498583
AGS,Jesús María,Total,80505,3.3600397490839,0.13415315818893014,25.831935904602155,31.49742252034027,19.1627849201912,19.9291969442891,0.08446680330414,9.4650361
AGS,Jesús María,Hombres,39677,3.47304483705925,0.05544774050457421,25.999949592963144,31.93789853063481,18.2322252186405,20.1854978955062,0.11593618469138,9.4336631
AGS,Jesús María,Mujeres,40828,3.25022043695503,0.21063975702948898,25.668658763593594,31.069364161849684,20.0671108063094,19.6801214852552,0.0538845890075439,9.4955233
AGS,Pabellón de Arteaga,Total,31113,3.46800372834506,0.035354996303795856,24.025327033715758,34.70896409860829,22.3957831131681,15.0548002442708,0.31176678558801,9.1614808
AGS,Pabellón de Arteaga,Hombres,14854,3.58825905480005,0.06058974013733413,24.57923791571291,33.35801804227814,22.5528477177864,15.4907768951124,0.37027063417261,9.1420935
AGS,Pabellón de Arteaga,Mujeres,16259,3.35814010701765,0.012300879512885183,23.519281628636417,35.943169936650456,22.2522910388092,14.6564979396026,0.25831846977058,9.1791643
AGS,Rincón de Romos,Total,35683,3.85337555698792,0.07846873861502454,24.95586133452904,35.224056273295375,21.8171117899279,13.9085839195134,0.16254238713112,8.9819356
AGS,Rincón de Romos,Hombres,17121,3.72057706909643,0.1109748262367834,24.23339758191689,36.28292739910045,21.7043396997838,13.7491968927048,0.19858653116056,9.0086085
AGS,Rincón de Romos,Mujeres,18562,3.97586466975541,0.04848615450920749,25.622238982868172,34.247387135006974,21.921129188665,14.0555974571705,0.12929641202456,8.9573411
AGS,San Francisco de los Romo,Total,30175,3.54266777133388,0.14913007456503402,25.309030654515308,40.122618061308984,19.9304059652029,10.7439933719966,0.20215410107705,8.7872312
AGS,San Francisco de los Romo,Hombres,14684,3.35058567147916,0.20430400435848062,25.306456006537704,40.104876055570664,20.1239444293108,10.7736311631707,0.13620266957232,8.775343
AGS,San Francisco de los Romo,Mujeres,15491,3.72474339939319,0.0968304176618651,25.311471176812297,40.13943580143305,19.7469498418436,10.71589955458,0.26466980827577,8.7985103
AGS,San José de Gracia,Total,5845,2.3267750213858,0.11976047904191432,30.675791274593653,38.52865697177068,17.656116338751,10.4191616766467,0.27373823781009,8.5565486
AGS,San José de Gracia,Hombres,2735,2.41316270566727,0.21937842778793035,33.126142595978,37.623400365630665,16.0511882998171,10.2742230347349,0.29250457038391,8.359662
AGS,San José de Gracia,Mujeres,3110,2.2508038585209,0.032154340836012846,28.520900321543326,39.32475884244365,19.0675241157556,10.5466237942122,0.2572347266881,8.7296511
AGS,Tepezalá,Total,14027,3.4932629927996,0.3136807585371032,34.89698438725313,33.749197975333274,18.2505168603407,8.95415983460469,0.34219719113138,8.0294412
AGS,Tepezalá,Hombres,6741,3.67897937991396,0.3263610740246199,36.923305147604175,32.917964693665574,17.5789942145082,8.18869603916333,0.38569945112001,7.8351238
AGS,Tepezalá,Mujeres,7286,3.32143837496568,0.3019489431786919,33.022234422179466,34.51825418611027,18.8718089486686,9.66236618171836,0.30194894317869,8.2088729
