state_abbr,municipio_name,pop,pop_male,pop_female,afromexican,indigenous,metro_area
NL,Rayones,2640,1348,1292,0,6,NA
NL,Sabinas Hidalgo,35456,17255,18201,8,2437,NA
NL,Salinas Victoria,54192,27678,26514,232,4458,Monterrey
NL,San Nicolás de los Garza,430143,209507,220636,2001,9123,Monterrey
NL,Hidalgo,13836,6950,6886,0,526,NA
NL,Santa Catarina,296954,148962,147992,2769,14647,Monterrey
NL,Santiago,42407,21219,21188,124,1396,Monterrey
NL,Vallecillo,1632,868,764,0,377,NA
NL,Villaldama,4080,2030,2050,3,302,NA
OAX,Abejones,882,370,512,72,855,NA
OAX,Acatlán de Pérez Figueroa,45883,22376,23507,1131,25382,NA
OAX,Asunción Cacalotepec,2027,984,1043,4,2018,NA
OAX,Asunción Cuyotepeji,930,437,493,44,578,NA
OAX,Asunción Ixtaltepec,15105,7485,7620,234,11397,NA
OAX,Asunción Nochixtlán,18525,8588,9937,224,13342,NA
OAX,Asunción Ocotlán,2550,1156,1394,3,2405,NA
OAX,Asunción Tlacolulita,758,366,392,2,721,NA
OAX,Ayotzintepec,7102,3506,3596,12,6319,NA
OAX,El Barrio de la Soledad,14277,6809,7468,901,7249,NA
OAX,Calihualá,1182,568,614,25,832,NA
OAX,Candelaria Loxicha,10497,5151,5346,21,8832,NA
OAX,Ciénega de Zimatlán,2953,1415,1538,86,558,NA
OAX,Ciudad Ixtepec,28637,13606,15031,813,19267,NA
OAX,Coatecas Altas,4823,2258,2565,530,3737,NA
OAX,Coicoyán de las Flores,9936,4672,5264,49,9775,NA
OAX,La Compañía,3365,1626,1739,218,1862,NA
OAX,Concepción Buenavista,803,397,406,0,506,NA
OAX,Concepción Pápalo,2934,1448,1486,124,2707,NA
OAX,Constancia del Rosario,3947,1821,2126,5,2702,NA
OAX,Cosolapa,15866,7538,8328,612,10770,NA
OAX,Cosoltepec,716,338,378,0,589,NA
OAX,Cuilápam de Guerrero,21597,10475,11122,195,9248,NA
OAX,Cuyamecalco Villa de Zaragoza,3643,1825,1818,34,3342,NA
OAX,Chahuites,11413,5626,5787,31,2032,NA
OAX,Chalcatongo de Hidalgo,9066,4256,4810,64,7989,NA
OAX,Chiquihuitlán de Benito Juárez,2251,999,1252,7,2156,NA
OAX,Heroica Ciudad de Ejutla de Crespo,20915,9876,11039,226,8339,NA
OAX,Eloxochitlán de Flores Magón,4135,1930,2205,7,4069,NA
OAX,El Espinal,8575,4180,4395,58,5395,NA
OAX,Tamazulápam del Espíritu Santo,7102,3106,3996,56,6929,NA
OAX,Fresnillo de Trujano,996,485,511,50,896,NA
OAX,Guadalupe Etla,2637,1236,1401,67,1125,NA
OAX,Guadalupe de Ramírez,1172,563,609,15,475,NA
OAX,Guelatao de Juárez,531,254,277,22,482,NA
OAX,Guevea de Humboldt,5409,2589,2820,243,5231,NA
OAX,Mesones Hidalgo,4380,2033,2347,1571,3269,NA
OAX,Villa Hidalgo,1917,909,1008,7,1875,NA
OAX,Heroica Ciudad de Huajuapan de León,77547,36429,41118,4644,39825,NA
OAX,Huautepec,6299,2928,3371,26,6166,NA
OAX,Huautla de Jiménez,31551,14636,16915,1718,30683,NA
OAX,Ixtlán de Juárez,8268,4035,4233,26,7793,NA
OAX,Heroica Ciudad de Juchitán de Zaragoza,98043,47156,50887,1357,81385,NA
OAX,Loma Bonita,42884,20397,22487,518,7924,NA
OAX,Magdalena Apasco,8303,3933,4370,358,4590,NA
OAX,Magdalena Jaltepec,3149,1451,1698,18,2628,NA
OAX,Santa Magdalena Jicotlán,87,39,48,0,48,NA
OAX,Magdalena Mixtepec,1375,662,713,739,1292,NA
OAX,Magdalena Ocotlán,1146,554,592,12,894,NA
OAX,Magdalena Peñasco,3381,1565,1816,2,3337,NA
OAX,Magdalena Teitipac,4563,2227,2336,646,4491,NA
OAX,Magdalena Tequisistlán,6038,2931,3107,29,5260,NA
OAX,Magdalena Tlacotepec,1220,585,635,5,830,NA
OAX,Magdalena Zahuatlán,415,196,219,1,341,NA
OAX,Mariscala de Juárez,3486,1674,1812,357,1909,NA
OAX,Mártires de Tacubaya,1424,672,752,161,396,NA
OAX,Matías Romero Avendaño,39828,19259,20569,0,0,NA
OAX,Mazatlán Villa de Flores,13097,6456,6641,182,12853,NA
OAX,Miahuatlán de Porfirio Díaz,42312,19793,22519,2614,19771,NA
OAX,Mixistlán de la Reforma,2585,1220,1365,9,2567,NA
OAX,Monjas,2722,1256,1466,46,1936,NA
OAX,Natividad,475,211,264,1,465,NA
OAX,Nazareno Etla,3910,1867,2043,20,2373,NA
OAX,Nejapa de Madero,7385,3627,3758,46,4804,NA
OAX,Ixpantepec Nieves,1209,538,671,62,1141,NA
OAX,Santiago Niltepec,5327,2639,2688,588,2744,NA
OAX,Oaxaca de Juárez,264251,119946,144305,11875,105561,Oaxaca
OAX,Ocotlán de Morelos,21676,10306,11370,105,9506,NA
OAX,La Pe,2632,1275,1357,490,1591,NA
OAX,Pinotepa de Don Luis,6893,3379,3514,79,6425,NA
OAX,Pluma Hidalgo,2871,1382,1489,103,789,NA
OAX,San José del Progreso,6822,3297,3525,14,5498,NA
OAX,Putla Villa de Guerrero,32640,15250,17390,2342,17851,NA
OAX,Santa Catarina Quioquitani,482,240,242,2,475,NA
OAX,Reforma de Pineda,2723,1302,1421,6,2477,NA
OAX,La Reforma,3256,1566,1690,596,1908,NA
OAX,Reyes Etla,3757,1829,1928,38,2180,NA
OAX,Rojas de Cuauhtémoc,1095,510,585,14,561,NA
OAX,Salina Cruz,89211,42336,46875,1395,47492,Tehuantepec
OAX,San Agustín Amatengo,1459,694,765,4,1040,NA
OAX,San Agustín Atenango,1760,817,943,23,1691,NA
OAX,San Agustín Chayuco,4099,1976,2123,524,3708,NA
OAX,San Agustín de las Juntas,9342,4508,4834,703,5045,Oaxaca
OAX,San Agustín Etla,3984,1891,2093,167,1713,NA
